AFFYMETRIX_3PRIME_IVT_ID	Name	Species
231907_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
226893_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
240894_at	long intergenic non-protein coding RNA 2180(LINC02180)	Homo sapiens
214504_at	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)	Homo sapiens
216929_x_at	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)	Homo sapiens
216716_at	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)	Homo sapiens
214671_s_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens
212895_s_at	ABR activator of RhoGEF and GTPase(ABR)	Homo sapiens
202025_x_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens
214274_s_at	acetyl-CoA acyltransferase 1(ACAA1)	Homo sapiens
212186_at	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens
214358_at	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens
1552616_a_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
43427_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
214584_x_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
49452_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
221928_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
1552615_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens
206069_s_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens
206068_s_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens
202502_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens
202366_at	acyl-CoA dehydrogenase short chain(ACADS)	Homo sapiens
205355_at	acyl-CoA dehydrogenase short/branched chain(ACADSB)	Homo sapiens
226030_at	acyl-CoA dehydrogenase short/branched chain(ACADSB)	Homo sapiens
200710_at	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens
205412_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
1554947_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
1559239_s_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens
209608_s_at	acetyl-CoA acetyltransferase 2(ACAT2)	Homo sapiens
225551_at	consortin, connexin sorting protein(CNST)	Homo sapiens
1554660_a_at	consortin, connexin sorting protein(CNST)	Homo sapiens
225550_at	consortin, connexin sorting protein(CNST)	Homo sapiens
1554661_s_at	consortin, connexin sorting protein(CNST)	Homo sapiens
206690_at	acid sensing ion channel subunit 2(ASIC2)	Homo sapiens
37953_s_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens
205156_s_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens
205378_s_at	acetylcholinesterase (Yt blood group)(ACHE)	Homo sapiens
205377_s_at	acetylcholinesterase (Yt blood group)(ACHE)	Homo sapiens
225358_at	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)	Homo sapiens
225359_at	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)	Homo sapiens
210337_s_at	ATP citrate lyase(ACLY)	Homo sapiens
201128_s_at	ATP citrate lyase(ACLY)	Homo sapiens
201127_s_at	ATP citrate lyase(ACLY)	Homo sapiens
237622_at	aconitase 1(ACO1)	Homo sapiens
207071_s_at	aconitase 1(ACO1)	Homo sapiens
207427_at	acrosin(ACR)	Homo sapiens
200793_s_at	aconitase 2(ACO2)	Homo sapiens
217307_at	aconitase 2(ACO2)	Homo sapiens
209600_s_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens
227962_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens
209601_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens
207656_s_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens
213501_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens
1554808_at	acid phosphatase 1(ACP1)	Homo sapiens
201629_s_at	acid phosphatase 1(ACP1)	Homo sapiens
201630_s_at	acid phosphatase 1(ACP1)	Homo sapiens
215227_x_at	acid phosphatase 1(ACP1)	Homo sapiens
202767_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens
204638_at	acid phosphatase 5, tartrate resistant(ACP5)	Homo sapiens
237030_at	acid phosphatase 3(ACP3)	Homo sapiens
231711_at	acid phosphatase 3(ACP3)	Homo sapiens
204393_s_at	acid phosphatase 3(ACP3)	Homo sapiens
207990_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
207991_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
206776_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
208013_s_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
207969_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
207973_x_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens
203872_at	actin alpha 1, skeletal muscle(ACTA1)	Homo sapiens
215679_at	leukemia-associated non-coding IGF1R activator RNA 1(LUNAR1)	Homo sapiens
200974_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens
215787_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens
243140_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens
224594_x_at	actin beta(ACTB)	Homo sapiens
AFFX-HSAC07/X00351_3_at	actin beta(ACTB)	Homo sapiens
AFFX-HSAC07/X00351_5_at	actin beta(ACTB)	Homo sapiens
200801_x_at	actin beta(ACTB)	Homo sapiens
213867_x_at	actin beta(ACTB)	Homo sapiens
AFFX-HSAC07/X00351_M_at	actin beta(ACTB)	Homo sapiens
217211_at	ACTB pseudogene 9(ACTBP9)	Homo sapiens
205132_at	actin alpha cardiac muscle 1(ACTC1)	Homo sapiens
201550_x_at	actin gamma 1(ACTG1)	Homo sapiens
211970_x_at	actin gamma 1(ACTG1)	Homo sapiens
212988_x_at	actin gamma 1(ACTG1)	Homo sapiens
224585_x_at	actin gamma 1(ACTG1)	Homo sapiens
211983_x_at	actin gamma 1(ACTG1)	Homo sapiens
212363_x_at	actin gamma 1(ACTG1)	Homo sapiens
213214_x_at	actin gamma 1(ACTG1)	Homo sapiens
221607_x_at	actin gamma 1(ACTG1)	Homo sapiens
211995_x_at	actin gamma 1(ACTG1)	Homo sapiens
241148_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens
202274_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens
236658_at	RPS6KA2 antisense RNA 1(RPS6KA2-AS1)	Homo sapiens
200601_at	actinin alpha 4(ACTN4)	Homo sapiens
202666_s_at	actin like 6A(ACTL6A)	Homo sapiens
208636_at	actinin alpha 1(ACTN1)	Homo sapiens
211160_x_at	actinin alpha 1(ACTN1)	Homo sapiens
237401_at	actinin alpha 1(ACTN1)	Homo sapiens
208637_x_at	actinin alpha 1(ACTN1)	Homo sapiens
203864_s_at	actinin alpha 2(ACTN2)	Homo sapiens
203861_s_at	actinin alpha 2(ACTN2)	Homo sapiens
203862_s_at	actinin alpha 2(ACTN2)	Homo sapiens
203863_at	actinin alpha 2(ACTN2)	Homo sapiens
206891_at	actinin alpha 3(ACTN3)	Homo sapiens
203935_at	activin A receptor type 1(ACVR1)	Homo sapiens
208219_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
205209_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
208223_s_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
208222_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
213198_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
208218_s_at	activin A receptor type 1B(ACVR1B)	Homo sapiens
205327_s_at	activin A receptor type 2A(ACVR2A)	Homo sapiens
228416_at	activin A receptor type 2A(ACVR2A)	Homo sapiens
236126_at	activin A receptor type 2B(ACVR2B)	Homo sapiens
1559548_at	activin A receptor type 2B(ACVR2B)	Homo sapiens
220028_at	activin A receptor type 2B(ACVR2B)	Homo sapiens
226950_at	activin A receptor like type 1(ACVRL1)	Homo sapiens
210838_s_at	activin A receptor like type 1(ACVRL1)	Homo sapiens
1569256_a_at	family with sequence similarity 43 member B(FAM43B)	Homo sapiens
225762_x_at	RNA, 45S pre-ribosomal N5(RNA45SN5)	Homo sapiens
225767_at	RNA, 45S pre-ribosomal N5(RNA45SN5)	Homo sapiens
238849_at	aminoacylase 1(ACY1)	Homo sapiens
205260_s_at	acylphosphatase 1(ACYP1)	Homo sapiens
206833_s_at	acylphosphatase 2(ACYP2)	Homo sapiens
1562173_a_at	long intergenic non-protein coding RNA 555(LINC00555)	Homo sapiens
216705_s_at	adenosine deaminase(ADA)	Homo sapiens
204639_at	adenosine deaminase(ADA)	Homo sapiens
205180_s_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens
205179_s_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens
231062_at	DOCK9 divergent transcript(DOCK9-DT)	Homo sapiens
202603_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
214895_s_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
202604_x_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
243609_at	CYP3A7-CYP3A51P readthrough(CYP3A7-CYP3A51P)	Homo sapiens
211843_x_at	CYP3A7-CYP3A51P readthrough(CYP3A7-CYP3A51P)	Homo sapiens
201786_s_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens
1569983_at	long intergenic non-protein coding RNA 566(LINC00566)	Homo sapiens
209979_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
234539_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
207999_s_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
234799_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
203865_s_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
1562990_at	long intergenic non-protein coding RNA 564(LINC00564)	Homo sapiens
237437_s_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens
220648_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens
1561287_at	long intergenic non-protein coding RNA 561(LINC00561)	Homo sapiens
227676_at	FAM3 metabolism regulating signaling molecule D(FAM3D)	Homo sapiens
233661_at	long intergenic non-protein coding RNA 557(LINC00557)	Homo sapiens
215348_at	adenylate cyclase 1(ADCY1)	Homo sapiens
235049_at	adenylate cyclase 1(ADCY1)	Homo sapiens
232062_at	adenylate cyclase 1(ADCY1)	Homo sapiens
213245_at	adenylate cyclase 1(ADCY1)	Homo sapiens
215340_at	adenylate cyclase 1(ADCY1)	Homo sapiens
1560988_a_at	long intergenic non-protein coding RNA 556(LINC00556)	Homo sapiens
213217_at	adenylate cyclase 2(ADCY2)	Homo sapiens
217687_at	adenylate cyclase 2(ADCY2)	Homo sapiens
213219_at	adenylate cyclase 2(ADCY2)	Homo sapiens
209320_at	adenylate cyclase 3(ADCY3)	Homo sapiens
209321_s_at	adenylate cyclase 3(ADCY3)	Homo sapiens
244486_at	PINK1 antisense RNA(PINK1-AS)	Homo sapiens
242891_at	adenylate cyclase 5(ADCY5)	Homo sapiens
228182_at	adenylate cyclase 5(ADCY5)	Homo sapiens
1558847_at	SWI/SNF complex interacting GAS6 enhancer non-coding RNA(SWINGN)	Homo sapiens
209195_s_at	adenylate cyclase 6(ADCY6)	Homo sapiens
215738_at	long intergenic non-protein coding RNA 563(LINC00563)	Homo sapiens
203741_s_at	adenylate cyclase 7(ADCY7)	Homo sapiens
1554827_a_at	adenylate cyclase 7(ADCY7)	Homo sapiens
1561478_at	long intergenic non-protein coding RNA 560(LINC00560)	Homo sapiens
206811_at	adenylate cyclase 8(ADCY8)	Homo sapiens
1556884_a_at	long intergenic non-protein coding RNA 558(LINC00558)	Homo sapiens
204498_s_at	adenylate cyclase 9(ADCY9)	Homo sapiens
204497_at	adenylate cyclase 9(ADCY9)	Homo sapiens
215400_x_at	adenylate cyclase 9(ADCY9)	Homo sapiens
206281_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens
230237_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens
207151_at	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens
226690_at	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens
214726_x_at	adducin 1(ADD1)	Homo sapiens
208030_s_at	adducin 1(ADD1)	Homo sapiens
214736_s_at	adducin 1(ADD1)	Homo sapiens
238939_at	adducin 1(ADD1)	Homo sapiens
237336_at	adducin 2(ADD2)	Homo sapiens
239530_at	adducin 2(ADD2)	Homo sapiens
205268_s_at	adducin 2(ADD2)	Homo sapiens
230988_at	adducin 2(ADD2)	Homo sapiens
213484_at	adducin 2(ADD2)	Homo sapiens
206807_s_at	adducin 2(ADD2)	Homo sapiens
201034_at	adducin 3(ADD3)	Homo sapiens
201753_s_at	adducin 3(ADD3)	Homo sapiens
205882_x_at	adducin 3(ADD3)	Homo sapiens
201752_s_at	adducin 3(ADD3)	Homo sapiens
209122_at	perilipin 2(PLIN2)	Homo sapiens
215895_x_at	perilipin 2(PLIN2)	Homo sapiens
207820_at	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	Homo sapiens
209614_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens
209613_s_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens
209612_s_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens
243544_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens
206262_at	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens
231678_s_at	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens
231703_s_at	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens
223781_x_at	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens
231675_s_at	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens
208847_s_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens
208848_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens
207544_s_at	alcohol dehydrogenase 6 (class V)(ADH6)	Homo sapiens
214261_s_at	alcohol dehydrogenase 6 (class V)(ADH6)	Homo sapiens
210505_at	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)	Homo sapiens
221941_at	polyamine oxidase(PAOX)	Homo sapiens
238333_s_at	polyamine oxidase(PAOX)	Homo sapiens
50400_at	polyamine oxidase(PAOX)	Homo sapiens
238334_at	polyamine oxidase(PAOX)	Homo sapiens
204120_s_at	adenosine kinase(ADK)	Homo sapiens
204119_s_at	adenosine kinase(ADK)	Homo sapiens
202912_at	adrenomedullin(ADM)	Homo sapiens
1563296_at	long intergenic non-protein coding RNA 572(LINC00572)	Homo sapiens
205481_at	adenosine A1 receptor(ADORA1)	Homo sapiens
216220_s_at	adenosine A1 receptor(ADORA1)	Homo sapiens
1553458_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
213381_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
244057_s_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
244058_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
230103_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
235471_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
205891_at	adenosine A2b receptor(ADORA2B)	Homo sapiens
239130_at	microRNA 3671(MIR3671)	Homo sapiens
206171_at	adenosine A3 receptor(ADORA3)	Homo sapiens
223660_at	adenosine A3 receptor(ADORA3)	Homo sapiens
238505_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens
207863_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens
228042_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens
208644_at	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens
229926_at	microRNA 3682(MIR3682)	Homo sapiens
202239_at	poly(ADP-ribose) polymerase family member 4(PARP4)	Homo sapiens
210961_s_at	adrenoceptor alpha 1D(ADRA1D)	Homo sapiens
210960_at	adrenoceptor alpha 1D(ADRA1D)	Homo sapiens
207589_at	adrenoceptor alpha 1B(ADRA1B)	Homo sapiens
211490_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
211492_s_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
211489_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
237390_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
211491_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
243146_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
235642_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens
209869_at	adrenoceptor alpha 2A(ADRA2A)	Homo sapiens
208544_at	adrenoceptor alpha 2B(ADRA2B)	Homo sapiens
206128_at	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens
229309_at	adrenoceptor beta 1(ADRB1)	Homo sapiens
208214_at	adrenoceptor beta 1(ADRB1)	Homo sapiens
229277_at	adrenoceptor beta 1(ADRB1)	Homo sapiens
206170_at	adrenoceptor beta 2(ADRB2)	Homo sapiens
206812_at	adrenoceptor beta 3(ADRB3)	Homo sapiens
217303_s_at	adrenoceptor beta 3(ADRB3)	Homo sapiens
38447_at	G protein-coupled receptor kinase 2(GRK2)	Homo sapiens
201401_s_at	G protein-coupled receptor kinase 2(GRK2)	Homo sapiens
201402_at	G protein-coupled receptor kinase 2(GRK2)	Homo sapiens
228771_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
1561274_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
204184_s_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
204183_s_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
202144_s_at	adenylosuccinate lyase(ADSL)	Homo sapiens
210250_x_at	adenylosuccinate lyase(ADSL)	Homo sapiens
227310_at	adenylosuccinate synthase 2(ADSS2)	Homo sapiens
221761_at	adenylosuccinate synthase 2(ADSS2)	Homo sapiens
1558792_x_at	adaptor related protein complex 2 subunit alpha 1(AP2A1)	Homo sapiens
223237_x_at	adaptor related protein complex 2 subunit alpha 1(AP2A1)	Homo sapiens
234068_s_at	adaptor related protein complex 2 subunit alpha 1(AP2A1)	Homo sapiens
229617_x_at	adaptor related protein complex 2 subunit alpha 1(AP2A1)	Homo sapiens
212159_x_at	adaptor related protein complex 2 subunit alpha 2(AP2A2)	Homo sapiens
215764_x_at	adaptor related protein complex 2 subunit alpha 2(AP2A2)	Homo sapiens
212161_at	adaptor related protein complex 2 subunit alpha 2(AP2A2)	Homo sapiens
211779_x_at	adaptor related protein complex 2 subunit alpha 2(AP2A2)	Homo sapiens
205423_at	adaptor related protein complex 1 subunit beta 1(AP1B1)	Homo sapiens
200612_s_at	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens
200615_s_at	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens
203350_at	adaptor related protein complex 1 subunit gamma 1(AP1G1)	Homo sapiens
225754_at	adaptor related protein complex 1 subunit gamma 1(AP1G1)	Homo sapiens
225771_at	adaptor related protein complex 1 subunit gamma 1(AP1G1)	Homo sapiens
201792_at	AE binding protein 1(AEBP1)	Homo sapiens
217729_s_at	TLE family member 5, transcriptional modulator(TLE5)	Homo sapiens
207032_s_at	cysteine rich secretory protein 1(CRISP1)	Homo sapiens
216314_at	cysteine rich secretory protein 1(CRISP1)	Homo sapiens
236250_at	AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)	Homo sapiens
1559863_a_at	AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)	Homo sapiens
1552287_s_at	AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)	Homo sapiens
206840_at	afamin(AFM)	Homo sapiens
204694_at	alpha fetoprotein(AFP)	Homo sapiens
216064_s_at	aspartylglucosaminidase(AGA)	Homo sapiens
204332_s_at	aspartylglucosaminidase(AGA)	Homo sapiens
204333_s_at	aspartylglucosaminidase(AGA)	Homo sapiens
1554950_at	aggrecan(ACAN)	Homo sapiens
217161_x_at	aggrecan(ACAN)	Homo sapiens
205679_x_at	aggrecan(ACAN)	Homo sapiens
207692_s_at	aggrecan(ACAN)	Homo sapiens
210081_at	advanced glycosylation end-product specific receptor(AGER)	Homo sapiens
217046_s_at	advanced glycosylation end-product specific receptor(AGER)	Homo sapiens
203566_s_at	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	Homo sapiens
217714_x_at	microRNA 3917(MIR3917)	Homo sapiens
207193_at	agouti related neuropeptide(AGRP)	Homo sapiens
209098_s_at	jagged canonical Notch ligand 1(JAG1)	Homo sapiens
209097_s_at	jagged canonical Notch ligand 1(JAG1)	Homo sapiens
209099_x_at	jagged canonical Notch ligand 1(JAG1)	Homo sapiens
216268_s_at	jagged canonical Notch ligand 1(JAG1)	Homo sapiens
229924_s_at	jagged canonical Notch ligand 1(JAG1)	Homo sapiens
202834_at	angiotensinogen(AGT)	Homo sapiens
208016_s_at	angiotensin II receptor type 1(AGTR1)	Homo sapiens
205357_s_at	angiotensin II receptor type 1(AGTR1)	Homo sapiens
207293_s_at	angiotensin II receptor type 2(AGTR2)	Homo sapiens
207294_at	angiotensin II receptor type 2(AGTR2)	Homo sapiens
222321_at	angiotensin II receptor type 2(AGTR2)	Homo sapiens
231146_at	family with sequence similarity 24 member B(FAM24B)	Homo sapiens
213592_at	apelin receptor(APLNR)	Homo sapiens
210326_at	alanine--glyoxylate aminotransferase(AGXT)	Homo sapiens
206957_at	alanine--glyoxylate aminotransferase(AGXT)	Homo sapiens
210327_s_at	alanine--glyoxylate aminotransferase(AGXT)	Homo sapiens
206644_at	nuclear receptor subfamily 0 group B member 1(NR0B1)	Homo sapiens
206645_s_at	nuclear receptor subfamily 0 group B member 1(NR0B1)	Homo sapiens
200903_s_at	adenosylhomocysteinase(AHCY)	Homo sapiens
202820_at	aryl hydrocarbon receptor(AHR)	Homo sapiens
204551_s_at	alpha 2-HS glycoprotein(AHSG)	Homo sapiens
210929_s_at	alpha 2-HS glycoprotein(AHSG)	Homo sapiens
215051_x_at	allograft inflammatory factor 1(AIF1)	Homo sapiens
209901_x_at	allograft inflammatory factor 1(AIF1)	Homo sapiens
207823_s_at	allograft inflammatory factor 1(AIF1)	Homo sapiens
213095_x_at	allograft inflammatory factor 1(AIF1)	Homo sapiens
212543_at	crystallin beta-gamma domain containing 1(CRYBG1)	Homo sapiens
202587_s_at	adenylate kinase 1(AK1)	Homo sapiens
202588_at	adenylate kinase 1(AK1)	Homo sapiens
212173_at	adenylate kinase 2(AK2)	Homo sapiens
212174_at	adenylate kinase 2(AK2)	Homo sapiens
212175_s_at	adenylate kinase 2(AK2)	Homo sapiens
205996_s_at	adenylate kinase 2(AK2)	Homo sapiens
208967_s_at	adenylate kinase 2(AK2)	Homo sapiens
212172_at	adenylate kinase 2(AK2)	Homo sapiens
204348_s_at	adenylate kinase 4(AK4)	Homo sapiens
230630_at	adenylate kinase 4(AK4)	Homo sapiens
204347_at	adenylate kinase 4(AK4)	Homo sapiens
225342_at	adenylate kinase 4(AK4)	Homo sapiens
241469_at	helicase for meiosis 1(HFM1)	Homo sapiens
1564285_at	helicase for meiosis 1(HFM1)	Homo sapiens
207163_s_at	AKT serine/threonine kinase 1(AKT1)	Homo sapiens
225471_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
226156_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
211453_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
236664_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
203809_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
1560689_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
218487_at	aminolevulinate dehydratase(ALAD)	Homo sapiens
218489_s_at	aminolevulinate dehydratase(ALAD)	Homo sapiens
205633_s_at	5'-aminolevulinate synthase 1(ALAS1)	Homo sapiens
244205_at	5'-aminolevulinate synthase 2(ALAS2)	Homo sapiens
211560_s_at	5'-aminolevulinate synthase 2(ALAS2)	Homo sapiens
214842_s_at	albumin(ALB)	Homo sapiens
1565228_s_at	albumin(ALB)	Homo sapiens
1568589_at	albumin(ALB)	Homo sapiens
214837_at	albumin(ALB)	Homo sapiens
211298_s_at	albumin(ALB)	Homo sapiens
1569362_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
201952_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
201951_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
205142_x_at	ATP binding cassette subfamily D member 1(ABCD1)	Homo sapiens
212224_at	aldehyde dehydrogenase 1 family member A1(ALDH1A1)	Homo sapiens
201425_at	aldehyde dehydrogenase 2 family member(ALDH2)	Homo sapiens
205623_at	aldehyde dehydrogenase 3 family member A1(ALDH3A1)	Homo sapiens
